,Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,B27002_001E,Total Race Population,B03001_003E,White,Black or African American,America Native,Asian,Native Pacific,Other,Two or More,Two or More Inclusive,Three or More,state,ZIP_CODE
260,ZCTA5 01367,63750.0,639.0,39.2,28031.0,108.0,639.0,639.0,25.0,604.0,5.0,0.0,0.0,0.0,3.0,27.0,1.0,26.0,25,01367
261,ZCTA5 01368,76250.0,1377.0,50.7,35816.0,108.0,1377.0,1377.0,0.0,1362.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,5.0,25,01368
262,ZCTA5 01370,62966.0,3852.0,52.5,41266.0,395.0,3834.0,3852.0,41.0,3613.0,52.0,3.0,135.0,0.0,0.0,49.0,0.0,49.0,25,01370
263,ZCTA5 01373,78382.0,4854.0,50.7,48051.0,200.0,4854.0,4854.0,145.0,4725.0,0.0,0.0,24.0,0.0,0.0,105.0,0.0,105.0,25,01373
264,ZCTA5 01375,55625.0,3647.0,34.1,38897.0,471.0,3612.0,3647.0,179.0,3004.0,63.0,0.0,263.0,106.0,0.0,211.0,36.0,175.0,25,01375
265,ZCTA5 01376,40913.0,5013.0,45.7,26967.0,689.0,4896.0,5013.0,343.0,4410.0,117.0,103.0,4.0,0.0,175.0,204.0,26.0,178.0,25,01376
266,ZCTA5 01378,59375.0,792.0,54.8,30445.0,55.0,792.0,792.0,16.0,765.0,0.0,2.0,4.0,0.0,4.0,17.0,0.0,17.0,25,01378
267,ZCTA5 01379,53750.0,829.0,50.3,31259.0,100.0,829.0,829.0,11.0,741.0,32.0,0.0,7.0,0.0,1.0,48.0,0.0,48.0,25,01379
268,ZCTA5 01420,57207.0,40702.0,35.5,27007.0,6096.0,40253.0,40702.0,11712.0,32703.0,2018.0,169.0,956.0,0.0,2885.0,1971.0,574.0,1397.0,25,01420
269,ZCTA5 01430,95037.0,6297.0,39.2,39119.0,108.0,6297.0,6297.0,108.0,6131.0,71.0,0.0,17.0,0.0,0.0,78.0,0.0,78.0,25,01430
270,ZCTA5 01431,97958.0,3220.0,45.9,40389.0,151.0,3214.0,3220.0,80.0,3132.0,14.0,4.0,23.0,0.0,9.0,38.0,0.0,38.0,25,01431
271,ZCTA5 01432,94375.0,7699.0,41.7,47324.0,514.0,7533.0,7699.0,458.0,6832.0,349.0,23.0,193.0,0.0,0.0,302.0,0.0,302.0,25,01432
272,ZCTA5 01434,92426.0,1969.0,43.1,24118.0,186.0,929.0,1969.0,276.0,1216.0,368.0,21.0,214.0,0.0,64.0,86.0,23.0,63.0,25,01434
273,ZCTA5 01436,73169.0,3374.0,43.2,37038.0,127.0,3284.0,3374.0,198.0,3263.0,0.0,0.0,42.0,0.0,69.0,0.0,0.0,0.0,25,01436
274,ZCTA5 01438,119808.0,694.0,30.8,33770.0,32.0,694.0,694.0,0.0,691.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,01438
275,ZCTA5 01440,49679.0,20610.0,41.0,28208.0,2698.0,19475.0,20610.0,1912.0,17922.0,586.0,11.0,651.0,0.0,565.0,875.0,61.0,814.0,25,01440
276,ZCTA5 01450,129085.0,11313.0,45.6,58468.0,426.0,11223.0,11313.0,154.0,10423.0,27.0,0.0,408.0,0.0,14.0,441.0,28.0,413.0,25,01450
277,ZCTA5 01451,162619.0,4731.0,46.4,70797.0,107.0,4731.0,4731.0,131.0,4417.0,0.0,11.0,220.0,0.0,55.0,28.0,0.0,28.0,25,01451
278,ZCTA5 01452,91734.0,4708.0,46.1,37857.0,292.0,4708.0,4708.0,272.0,4391.0,45.0,0.0,164.0,0.0,0.0,108.0,25.0,83.0,25,01452
279,ZCTA5 01453,61887.0,41647.0,40.5,33746.0,5186.0,41434.0,41647.0,7676.0,33723.0,2805.0,79.0,1263.0,0.0,2278.0,1499.0,114.0,1385.0,25,01453
280,ZCTA5 01460,123413.0,10071.0,44.7,55083.0,475.0,9945.0,10071.0,127.0,9081.0,62.0,8.0,597.0,0.0,38.0,285.0,29.0,256.0,25,01460
281,ZCTA5 01462,103228.0,11402.0,44.3,44134.0,650.0,11389.0,11402.0,674.0,10703.0,189.0,0.0,162.0,0.0,55.0,293.0,15.0,278.0,25,01462
